'ПОТРЕБИТЕЛЬСКОЕ  ОБЩЕСТВО ЖИЛИЩНО - СТРОИТЕЛЬНЫЙ  КООПЕРАТИВ  "НОВЫЙ "'|'ЖСК "НОВЫЙ "'|'432054, ОБЛАСТЬ УЛЬЯНОВСКАЯ, ГОРОД УЛЬЯНОВСК, УЛИЦА ЕФРЕМОВА, д. 127, к. ---------------------------, кв. ----------------------------'|'Ульяновская обл, г. Ульяновск, ул. Ефремова, д. 127'|'7327014950'|''
'ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ  КООПЕРАТИВ  "ОРИОН"'|'ЖСК "ОРИОН"'|'432073, Ульяновская область, Г. УЛЬЯНОВСК, УЛ. ШОЛМОВА, д. Д.37/4, к. -----------------, кв. ---------------'|'Ульяновская обл, г. Ульяновск, ул. Шолмова, д. 37/4'|'7327016555'|''
'ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ОТРАДНЫЙ"'|'ЖСК "ОТРАДНЫЙ"'|'432066, Ульяновская область, Г. УЛЬЯНОВСК, УЛ. РЯБИКОВА, д. Д.77, к. ---------, кв. ---------'|'Ульяновская обл, г. Ульяновск, ул. Рябикова, д. 77/48, корп. 1'|'7327014276'|''
'ПОТРЕБИТЕЛЬСКИЙ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ПАРУС"'|'ЖСК "ПАРУС "'|'432029, Ульяновская обл, г Ульяновск, ул Корунковой, д. 7'|'Ульяновская обл, г. Ульяновск, ул. Корунковой, д. 7'|'7327017975'|''
'ЖИЛИЩНО - СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ПАТРИОТ"'|'ЖСК "ПАТРИОТ"'|'432073, ОБЛАСТЬ УЛЬЯНОВСКАЯ, ГОРОД УЛЬЯНОВСК, УЛИЦА КАМЫШИНСКАЯ, д. 16'|'Ульяновская обл, г. Ульяновск, ул. Камышинская, д. 16, корп. 1'|'7327014237'|''
'ПОТРЕБИТЕЛЬСКИЙ  ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ПЕРВОМАЙСКИЙ"'|'ЖСК " ПЕРВОМАЙСКИЙ"'|'432045, ОБЛ УЛЬЯНОВСКАЯ, Г УЛЬЯНОВСК, УЛ ЕФРЕМОВА, д. 51'|'Ульяновская обл, г. Ульяновск, ул. Ефремова, д. 51'|'7327015752'|''
'ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ " ПЕРСПЕКТИВНЫЙ"'|'ЖСК " ПЕРСПЕКТИВНЫЙ"'|'432073, Ульяновская обл, р-н Засвияжский, г Ульяновск, ул Отрадная, д. 2'|'Ульяновская обл, г. Ульяновск, ул. Отрадная, д. 2'|'7327014269'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ПЕТРОВ ОВРАГ"'|'ЖСК "ПЕТРОВ ОВРАГ"'|'432059, ОБЛАСТЬ УЛЬЯНОВСКАЯ, ГОРОД УЛЬЯНОВСК, УЛИЦА БАРИ ТАРХАНОВА, д. 1'|'Ульяновская обл, г. Ульяновск, ул. Бари Тарханова, д. 1'|'7328015635'|''
'ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ЖИЛИЩНО - СТРОИТЕЛЬНЫЙ КООПЕРАТИВ " ПОЛЯРНИК"'|'ЖСК "ПОЛЯРНИК"'|'432045, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г. УЛЬЯНОВСК, УЛ. ЕФРЕМОВА, д. Д.67, к. ------------------, кв. ----------------'|'Ульяновская обл, г. Ульяновск, ул. Ефремова, д. 67'|'7327014340'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ПРИБОРОСТРОИТЕЛЬ"'|'ЖСК "ПРИБОРОСТРОИТЕЛЬ"'|'432063, ОБЛ УЛЬЯНОВСКАЯ, Г УЛЬЯНОВСК, УЛ КАРЛА ЛИБКНЕХТА, д. 16, кв. 16'|'Ульяновская обл, г. Ульяновск, ул. Карла Либкнехта, д. 16'|'7325901089'|''
